"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","source","characteristic","parameter"
0.21165676059731,0.0605628607810406,0.089216746900965,0.173136702453862,0.211831862949548,0.249873117536113,0.335081601563434,1.00067439015104,3000,"well","Size","alpha_4"
0.000373471279953464,0.000613158123410685,-0.000771180455287685,-2.80213858252944e-06,0.00035060734692962,0.000748611239988616,0.00162087660662323,1.00094355909996,3000,"well","Size","beta"
-78.7774470036769,5.79667771488522,-88.0147301416777,-82.9678724046391,-79.4168785740166,-75.4999534723944,-64.9757959713645,1.00192159213716,1400,"well","Size","mu_int"
0.202143836685893,0.0634796262921109,0.0753742867077269,0.164518273689876,0.202100488599984,0.240864204388797,0.325579009936931,1.00080595316471,3000,"well","Size","sigma_int"
0.0429274949343536,0.059071565551943,0.00108542358037378,0.0122259975427778,0.0262582844364208,0.0506887965748533,0.197308998700217,1.00264196057999,2700,"well","Size","sigma_res"
0.0768710406238806,0.0197429468343403,0.0486513571261227,0.0632582978647859,0.073395598093083,0.087215443832595,0.124443015618447,1.00081481864631,3000,"well","Size","deviance"
0.811090943694441,0.0326557985350624,0.746445607842352,0.791415447352434,0.811143915426419,0.83148437883749,0.876808638596848,1.0024400908568,2600,"ppt/snow","Size","alpha_1"
0.821906607144568,0.0321810045140795,0.75699448031906,0.802214534791472,0.82219938431691,0.842308123543403,0.884896635258794,1.00354596250441,1500,"ppt/snow","Size","alpha_2"
0.763994419351966,0.0334380368289393,0.700792710912869,0.743163293537183,0.763376841662124,0.784360825388154,0.83210741076739,1.00099625130959,3000,"ppt/snow","Size","alpha_3"
0.748881800365397,0.0340211651924584,0.684557353938818,0.72698472815082,0.747607769180663,0.769646155817874,0.819578207215912,1.00097555892919,3000,"ppt/snow","Size","alpha_4"
-0.00114645363688552,0.000314088635105821,-0.00178025692527635,-0.00134099767894273,-0.00113963448466957,-0.000953087241058124,-0.000542036390521478,1.00175405648576,2100,"ppt/snow","Size","beta"
-76.8986338193933,6.15436028717577,-86.7196686848615,-81.3273050705111,-77.6007031300692,-73.4222465494378,-62.2005614026183,1.00156593801688,3000,"ppt/snow","Size","mu_int"
0.785609150085274,0.0640532274766775,0.666480926389934,0.758191071104665,0.787043483997151,0.814419754813651,0.896987018454515,1.00475201507684,2800,"ppt/snow","Size","sigma_int"
0.0777899614439698,0.0831260527712634,0.00981296556243139,0.0362059201643878,0.0548321378387133,0.0884048806629895,0.289543571551401,1.00110744767865,3000,"ppt/snow","Size","sigma_res"
0.0332662447111799,0.0127104535807418,0.0120658474597174,0.0248461426767509,0.0316162101106274,0.0403035054018277,0.0629723451544354,1.01295630548704,590,"ppt/snow","Size","deviance"
