"Site","Year","Mean","SD","p2.5","p25","p50","p75","p97.5","Rhat","n.eff","Source","name","Par"
"FRCH","2022",-0.163760992039574,0.0010793952237368,-0.165902454679317,-0.164491697340935,-0.163784188139354,-0.163022479580459,-0.161646772826404,1.00107830754161,3000,"ppt/snow","beta[65]","beta"
"FRCH","2022",-0.155602030101948,0.00111924558396552,-0.157804387817128,-0.156353589611854,-0.155586369063982,-0.154823436805522,-0.15349068227168,1.00375276606291,620,"ppt/snow","beta[66]","beta"
"FRCH","2022",-0.18397064973276,0.0010974483435223,-0.186092219414306,-0.184719992919133,-0.183985283602551,-0.183236622375072,-0.181858883931661,1.0039344203469,580,"ppt/snow","beta[67]","beta"
"FRCH","2022",-0.17562072760632,0.00112278151453723,-0.177830473339301,-0.176400545246108,-0.175618598173134,-0.174897320338421,-0.173344365499214,1.0008763867814,3000,"ppt/snow","beta[68]","beta"
"FRCH","2022",-0.155793688979716,0.00112142654250671,-0.158016193676308,-0.156584581544956,-0.155793835603414,-0.155035396287381,-0.153633373045446,1.00080441020175,3000,"ppt/snow","beta[69]","beta"
"FRCH","2022",-0.150364478927967,0.00105574517734307,-0.152422513509541,-0.151080193524674,-0.150371145676311,-0.149643364108509,-0.148355111188687,1.00427027288395,780,"ppt/snow","beta[70]","beta"
"FRCH","2022",-0.185398601161445,0.0011408484734241,-0.187714128036074,-0.186132408456218,-0.185376469286074,-0.184640433401727,-0.183170593305474,1.00424218112188,540,"ppt/snow","beta[71]","beta"
"FRCH","2022",-0.149134218249359,0.0010843103854864,-0.151206813527744,-0.149855825335874,-0.149171199882378,-0.148422141306806,-0.1469080354888,1.00180869044102,1500,"ppt/snow","beta[72]","beta"
"FRCH","2022",-0.146718524219266,0.00111473953960549,-0.148877738684573,-0.147458989621248,-0.146723404058691,-0.145969220378106,-0.144521331404802,1.00189668094196,3000,"ppt/snow","beta[73]","beta"
"FRCH","2022",-0.170003639641884,0.00109647676009939,-0.172144704164368,-0.170761282399887,-0.17002433744885,-0.169269513008519,-0.167839117058044,1.00257637590149,960,"ppt/snow","beta[74]","beta"
"FRCH","2022",-0.160313965766075,0.00109040327593391,-0.162413497852163,-0.161074847758302,-0.16030939453548,-0.159555508614782,-0.158133585049474,1.00606230078604,360,"ppt/snow","beta[75]","beta"
"FRCH","2022",-0.161863144784384,0.00109950654726818,-0.164040442947757,-0.162600602296488,-0.161855787949517,-0.161161517050265,-0.159724354373511,1.00437988005817,1600,"ppt/snow","beta[76]","beta"
"FRCH","2022",-0.170236143316842,0.00111266391965234,-0.172381818142471,-0.171007224246466,-0.170246029969885,-0.169504211242022,-0.168006651114072,1.0035556658599,730,"ppt/snow","beta[77]","beta"
"FRCH","2022",-0.158497467361775,0.00109453341927527,-0.160648298867426,-0.159229475533104,-0.158527929052925,-0.157751186382201,-0.156399488555629,1.00150726379621,2000,"ppt/snow","beta[78]","beta"
"FRCH","2022",-0.159270052541128,0.00110943873526774,-0.161508458731834,-0.159975659005998,-0.159262544041211,-0.158533356439736,-0.157075692478087,1.00282924822883,860,"ppt/snow","beta[79]","beta"
"FRCH","2022",-0.164956752888516,0.00110029158496807,-0.167094591575789,-0.165707870810566,-0.164942767043498,-0.164174548522988,-0.162857027734319,1.00244376934119,1000,"ppt/snow","beta[80]","beta"
"FRCH","2022",-0.150291247798886,0.00107099681315469,-0.152342618605457,-0.151037610694158,-0.150312790331035,-0.149559819286489,-0.148197737100716,1.00378779766843,610,"ppt/snow","beta[81]","beta"
"FRCH","2022",-0.174495087603916,0.00110840795325648,-0.176586117381785,-0.175242382084757,-0.174495776925137,-0.173750923482031,-0.172346226895244,1.01026702767345,210,"ppt/snow","beta[82]","beta"
"FRCH","2022",-0.199417408620571,0.00109115416558975,-0.201578334938637,-0.200146807749997,-0.199410699761438,-0.198678754002338,-0.197325695171925,1.00214785867141,1200,"ppt/snow","beta[83]","beta"
"FRCH","2022",-0.181595420286216,0.00111424891568709,-0.183755205901472,-0.182346687988833,-0.181589868026461,-0.180849138114661,-0.17946039483522,1.00485248259192,540,"ppt/snow","beta[84]","beta"
"FRCH","2022",-0.160927953046075,0.00113622924045119,-0.163157462078157,-0.161707953206851,-0.160947434959031,-0.160115846903876,-0.158729362269611,1.00270211185509,910,"ppt/snow","beta[85]","beta"
"FRCH","2022",-0.182078321247279,0.0011141577497865,-0.184158835341517,-0.182837757124321,-0.182132186653769,-0.181336176464684,-0.179850894907589,1.00079598974663,3000,"ppt/snow","beta[86]","beta"
"FRCH","2022",-0.207206049909404,0.00108992558162187,-0.209301818090913,-0.207956664638565,-0.207200736677608,-0.206437110206931,-0.205115113081438,1.00284772431566,850,"ppt/snow","beta[87]","beta"
"FRCH","2022",-0.15078457664973,0.00107288160002156,-0.152858877693147,-0.15152706635063,-0.150768885381321,-0.150061648057237,-0.148693270459521,1.00233985541066,1100,"ppt/snow","beta[88]","beta"
"FRCH","2022",-0.188017093000246,0.00112629877774616,-0.190187494242634,-0.188787627977312,-0.188038303555799,-0.187247028042934,-0.185771001154988,1.00221807715446,1400,"ppt/snow","beta[89]","beta"
"FRCH","2022",-0.158214945071371,0.00110151840305229,-0.160473798503732,-0.158927234608498,-0.158189493640512,-0.15750031935426,-0.15609994079095,1.00468556692882,480,"ppt/snow","beta[90]","beta"
"FRCH","2022",24536.476289699,18.2818827704901,24501.6478300188,24524.2918652698,24535.7291553654,24548.3161072915,24573.1971880638,1.00092000026124,3000,"ppt/snow","deviance","devi"
"FRCH","2022",83.5387123084574,0.215015381453263,83.1152001470308,83.3920023283863,83.5419671304054,83.6777818594404,83.9663987168863,1.00075233792334,3000,"ppt/snow","mu_int","mu_i"
"FRCH","2022",-0.169632723535984,0.00204598149787063,-0.17371968755134,-0.170996151356203,-0.169632376169514,-0.168230590337458,-0.165738361359394,1.00231887466864,1100,"ppt/snow","mu_slope","mu_s"
"FRCH","2022",2.01507790241719,0.153211482467543,1.73787665303445,1.90878527224238,2.00886243896144,2.11278280014776,2.3431011155853,1.00117206415224,3000,"ppt/snow","s_int","s_in"
"FRCH","2022",0.478389541772356,0.00245556341796372,0.473564684214146,0.476699058744745,0.478405686689349,0.480060138595692,0.483086416666357,1.00125225468094,2700,"ppt/snow","s_res","s_re"
"FRCH","2022",0.0195562176081882,0.0015082623353938,0.016905886873781,0.0184687933371568,0.0194929018389246,0.0204974053021412,0.0228118294775175,1.00222995137787,1200,"ppt/snow","s_slope","s_sl"
"FRCH","2022",-2.45353363252121,0.150395054704833,-2.73650148025174,-2.56423773086118,-2.45144563978405,-2.35194861957445,-2.15702528888935,1.00269357055949,960,"soil_water","alpha[1]1","alph"
"FRCH","2022",-2.40766625795769,0.149712212501175,-2.69978581187974,-2.50661170226806,-2.41057981357029,-2.30587730001586,-2.12137296620164,1.00102921192122,3000,"soil_water","alpha[2]1","alph"
"FRCH","2022",-3.04922079351586,0.149788098747484,-3.34817159919601,-3.14993594446316,-3.04867869429286,-2.94843762531162,-2.75254501067871,1.00642944176961,340,"soil_water","alpha[3]1","alph"
"FRCH","2022",-2.44521982542281,0.144721044246278,-2.72848759832525,-2.53958274075817,-2.4488003889022,-2.34868951247098,-2.16426510737824,1.00625971130766,350,"soil_water","alpha[4]1","alph"
"FRCH","2022",-3.26254827272397,0.149058946154911,-3.55225903040628,-3.36171309696692,-3.26317750070727,-3.16528853202509,-2.95787396378965,1.00282162546477,860,"soil_water","alpha[5]1","alph"
"FRCH","2022",-3.17022461945872,0.145401406061663,-3.46115897914012,-3.26511569392021,-3.17481297622662,-3.07466139703757,-2.87617459554398,1.0019146049798,3000,"soil_water","alpha[6]1","alph"
"FRCH","2022",-2.78587295659822,0.148764857244309,-3.07218133219859,-2.8873235561994,-2.78175486551269,-2.68662915291727,-2.49934187972228,1.00164298908571,1700,"soil_water","alpha[7]1","alph"
"FRCH","2022",-1.62649635271315,0.143213199139772,-1.91175914606003,-1.72419149121052,-1.63019338396528,-1.52622708844201,-1.35586905559385,1.00618105484879,350,"soil_water","alpha[8]1","alph"
"FRCH","2022",-1.64334616422965,0.150270117416158,-1.94274888073063,-1.74063741773359,-1.64367010098602,-1.54480773533117,-1.34580077254181,1.00186442311988,1500,"soil_water","alpha[9]1","alph"
"FRCH","2022",0.925791671847302,0.144913625447592,0.637899421095024,0.832870795407748,0.929827245029563,1.02481642001016,1.2108240666835,1.00310146500129,1300,"soil_water","alpha[10]1","alph"
"FRCH","2022",-4.31971745085932,0.146859653775626,-4.60238421596569,-4.42082381428511,-4.32351620720585,-4.21869853071572,-4.03154064153857,1.00609016984286,360,"soil_water","alpha[11]1","alph"
"FRCH","2022",-2.01876754115557,0.144225054865217,-2.3088566742182,-2.11487402750758,-2.01826743139164,-1.91960595871504,-1.74198051507304,1.00124445284991,2700,"soil_water","alpha[12]1","alph"
"FRCH","2022",-5.27169244939176,0.146806245881234,-5.55408219405904,-5.37180952529455,-5.27205717767573,-5.17567123963613,-4.98396780518296,1.00056231912305,3000,"soil_water","alpha[13]1","alph"
"FRCH","2022",-2.28468833978013,0.14392686570699,-2.5560694972482,-2.38342249249089,-2.28642697247422,-2.1873952850102,-1.99627056874573,1.00258018788411,960,"soil_water","alpha[14]1","alph"
"FRCH","2022",-2.32866479927034,0.140296855421359,-2.61217491513643,-2.42033352573172,-2.3274401221005,-2.23549154524018,-2.05349466187926,1.00061292176681,3000,"soil_water","alpha[15]1","alph"
"FRCH","2022",-2.34857136803207,0.143249839148591,-2.63144738040359,-2.44690323692178,-2.34856481095264,-2.25150257950625,-2.06931794365048,1.00110766766858,3000,"soil_water","alpha[16]1","alph"
"FRCH","2022",-2.20914168750233,0.145443726229878,-2.49718970401304,-2.31032091988704,-2.20854949826546,-2.11427818767187,-1.93041067857778,1.00175341412478,3000,"soil_water","alpha[17]1","alph"
