"Site","Day","Q"
"POKE",2019-05-07,NA
"POKE",2019-05-08,NA
"POKE",2019-05-09,NA
"POKE",2019-05-10,NA
"POKE",2019-05-11,512.15805886829
"POKE",2019-05-12,463.176763108139
"POKE",2019-05-13,453.956603207895
"POKE",2019-05-14,456.287556384528
"POKE",2019-05-15,482.518407183046
"POKE",2019-05-16,450.121170295858
"POKE",2019-05-17,383.92416086025
"POKE",2019-05-18,362.774336282027
"POKE",2019-05-19,391.66164899283
"POKE",2019-05-20,365.55931335206
"POKE",2019-05-21,347.202139976334
"POKE",2019-05-22,339.072712846487
"POKE",2019-05-23,333.17524140815
"POKE",2019-05-24,332.297394263007
"POKE",2019-05-25,331.301965352344
"POKE",2019-05-26,337.22355778145
"POKE",2019-05-27,339.714642891431
"POKE",2019-05-28,342.265963734585
"POKE",2019-05-29,350.381239531136
"POKE",2019-05-30,325.097893408999
"POKE",2019-05-31,324.274076227043
"POKE",2019-06-01,325.353956573312
"POKE",2019-06-02,338.534208943769
"POKE",2019-06-03,350.41321566355
"POKE",2019-06-04,332.287209276369
"POKE",2019-06-05,335.098352881324
"POKE",2019-06-06,328.839393948125
"POKE",2019-06-07,327.488170812585
"POKE",2019-06-08,332.094400743555
"POKE",2019-06-09,327.366265303746
"POKE",2019-06-10,314.591944036366
"POKE",2019-06-11,313.106429757855
"POKE",2019-06-12,309.036451436279
"POKE",2019-06-13,302.471977223899
"POKE",2019-06-14,295.126642680043
"POKE",2019-06-15,290.166850271092
"POKE",2019-06-16,291.878996755664
"POKE",2019-06-17,285.687702328949
"POKE",2019-06-18,283.157776459074
"POKE",2019-06-19,286.737199978634
"POKE",2019-06-20,275.982267398334
"POKE",2019-06-21,274.75933638495
"POKE",2019-06-22,279.052971080093
"POKE",2019-06-23,280.78975963543
"POKE",2019-06-24,285.342480683211
"POKE",2019-06-25,272.466490392772
"POKE",2019-06-26,265.535266073876
"POKE",2019-06-27,261.457734071488
"POKE",2019-06-28,253.206233459467
"POKE",2019-06-29,233.101961634262
"POKE",2019-06-30,244.719978524746
"POKE",2019-07-01,259.948189223872
"POKE",2019-07-02,244.267140480961
"POKE",2019-07-03,236.486853987678
"POKE",2019-07-04,234.118966361535
"POKE",2019-07-05,231.229198078458
"POKE",2019-07-06,224.975893639409
"POKE",2019-07-07,222.242681369246
"POKE",2019-07-08,222.887806865847
